attack_id,source_name,source_vid,target_name,target_vid,similarity,n_swap_frames,fooled_045,fooled_060
75,Baburam_Bhattari,0,Colin_Campbell,4,0.334582,5,0,0
76,Sara_Silverman,5,Elaine_Stritch,1,0.198390,5,0,0
77,Patricia_Hearst,0,Ellen_Barkin,3,0.674668,5,1,1
78,Kyle_Shewfelt,2,Roberta_Combs,0,0.305144,5,0,0
79,Dan_Reeves,3,Sam_Rockwell,1,0.272942,5,0,0
80,Eric_Wedge,2,Karin_Viard,3,0.456384,5,1,0
81,Linda_Franklin,0,Gene_Hackman,2,0.228913,5,0,0
82,Linda_Mason,4,Princess_Anne,0,0.627726,5,1,1
83,Nick_Rimando,3,Darla_Moore,1,0.314700,5,0,0
84,Catherine_Zeta-Jones,0,Igor_Trunov,2,0.751133,5,1,1
85,Jake_Gyllenhaal,0,Festus_Mogae,1,0.300146,5,0,0
86,Nikolay_Davydenko,3,Thor_Pedersen,2,0.352819,5,0,0
87,Salma_Hayek,1,Olympia_Dukakis,1,0.313354,5,0,0
88,Cecile_de_France,4,Eric_Staal,1,0.428254,5,0,0
89,Viola_Davis,2,Olivia_Newton-John,4,0.160436,5,0,0
90,Felix_Sanchez,2,Peter_Mackay,4,0.327209,5,0,0
91,Dan_Guerrero,1,Tariq_Aziz,5,0.463958,5,1,0
92,Elva_Hsiao,3,Ally_Sheedy,4,0.548807,5,1,0
93,Evan_Marriott,0,Alfonso_Portillo,3,0.334168,5,0,0
94,Yukio_Hatoyama,3,Catherine_Bell,0,0.365985,5,0,0
95,Vincent_Sombrotto,0,Lena_Katina,2,0.289567,5,0,0
96,Candie_Kung,3,Angela_Merkel,4,0.207801,5,0,0
97,Jake_Gyllenhaal,5,Paul_Krueger,0,0.634286,5,1,1
98,Laura_Elena_Harring,0,Carrie-Anne_Moss,2,0.656261,5,1,1
99,Jackie_Sherrill,4,Alexander_Lukashenko,1,0.409205,5,0,0
100,Takashi_Yamamoto,1,Elodie_Bouchez,3,0.599090,5,1,0
101,Oswaldo_Paya,0,Kenneth_Carlsen,3,0.214554,5,0,0
102,Chris_Thomas,2,Ciro_Gomes,1,0.417868,5,0,0
103,Clark_Randt,4,Vicente_Fox,5,0.554980,5,1,0
104,Sam_Rockwell,1,Vanessa_Williams,5,0.504496,5,1,0
105,Chris_Klein,0,Thomas_Gottschalk,2,0.337855,5,0,0
106,Alexa_Vega,1,Lubomir_Zaoralek,0,0.339846,5,0,0
107,Lino_Oviedo,3,Ilan_Ramon,0,0.570055,5,1,0
108,Eddie_Fenech_Adami,5,Al_Leiter,4,0.186945,5,0,0
109,Geraldine_Chaplin,3,Evo_Morales,1,0.473494,5,1,0
110,Imelda_Marcos,3,Richard_Branson,5,0.471969,5,1,0
111,Nick_Markakis,2,Habib_Hisham,1,0.265538,5,0,0
112,Eric_Clapton,2,Clara_Harris,3,0.429997,5,0,0
113,Caio_Blat,4,Perry_Farrell,2,0.408421,5,0,0
114,Uzi_Landau,5,Gary_Paer,2,0.371730,5,0,0
115,Jamir_Miller,4,Paul_Bremer,3,0.290823,5,0,0
116,Alfonso_Portillo,3,Tim_Pawlenty,0,0.510342,5,1,0
117,Nabil_Shaath,0,Nicola_Bono,5,0.379476,5,0,0
118,Laura_Linney,4,Andy_Dick,2,0.368111,5,0,0
119,Roman_Coppola,4,Carol_Burnett,3,0.568145,5,1,0
120,Sally_Kirkland,2,Kevin_Satterfield,1,0.328173,5,0,0
121,Thabo_Mbeki,5,Frank_Abagnale_Jr,2,0.294441,5,0,0
122,Laila_Ali,3,Sadie_Frost,5,0.396701,5,0,0
123,Warren_Buffett,5,Chuck_Yeager,1,0.336708,5,0,0
124,Kenneth_Branagh,0,Norm_Macdonald,2,0.393620,5,0,0
125,Filippo_Inzaghi,2,Danielle_Spencer,3,0.562343,5,1,0
126,Liu_Mingkang,1,Lena_Katina,2,0.549544,5,1,0
127,Martin_Frost,0,Lucy_Liu,1,0.526216,5,1,0
128,Fernando_Sanz,5,Mary_Matalin,5,0.238760,5,0,0
129,Hamid_Reza_Asefi,2,Benedita_da_Silva,5,0.761350,5,1,1
130,Gary_Bettman,1,Edie_Falco,3,0.317188,5,0,0
131,Al_Sharpton,3,Ali_Abbas,5,0.440524,5,0,0
132,Philippe_Noiret,1,Yogi_Berra,1,0.342841,5,0,0
133,Kofi_Annan,2,Raghad_Saddam_Hussein,1,0.289584,5,0,0
134,Maria_Guida,0,Katie_Harman,2,0.433930,5,0,0
135,Robert_Wagner,3,Tavis_Smiley,0,0.343160,5,0,0
136,Zydrunas_Ilgauskas,1,Larry_Flynt,0,0.519373,5,1,0
137,Terry_Semel,2,Matt_Damon,1,0.632090,5,1,1
138,Orrin_Hatch,2,Elmar_Brok,5,0.173568,5,0,0
139,Cathy_Freeman,4,Lisa_Stansfield,3,0.399588,5,0,0
140,Picabo_Street,4,Tom_Gamboa,0,0.551495,5,1,0
141,Chris_Hernandez,1,Vladimir_Putin,2,0.413109,5,0,0
142,Enrique_Bolanos,4,Wesley_Clark,3,0.404170,5,0,0
143,Yang_Jianli,3,Zoran_Djindjic,1,0.607340,5,1,1
144,Queen_Sofia,0,Elias_Attallah,3,0.190771,5,0,0
145,Angie_Martinez,1,Tippi_Hedren,5,0.628253,5,1,1
146,Ethan_Hawke,3,Han_Sung_Joo,1,0.501249,5,1,0
147,Chakib_Khelil,4,Cheryl_Ford,4,0.233247,5,0,0
148,Terry_Bradshaw,1,Chick_Hearn,1,0.453631,5,1,0
149,Kostya_Tszyu,2,Kevin_Borseth,4,0.321162,5,0,0
150,Liu_Ye,0,Kristen_Breitweiser,1,0.576696,5,1,0
151,LK_Advani,5,Jane_Rooney,2,0.356082,5,0,0
152,James_Phelps,3,Luiz_Inacio_Lula_da_Silva,4,0.542427,5,1,0
153,Frank_Murkowski,5,Will_Young,5,0.363505,5,0,0
154,Nicola_Bono,5,Wang_Nan,4,0.398018,5,0,0
155,David_Carradine,5,Eugene_Melnyk,2,0.455536,5,1,0
156,Alberto_Fujimori,0,Jane_Pauley,4,0.643084,5,1,1
157,Scott_Blum,0,Kemal_Dervis,1,0.290008,5,0,0
158,Carrie-Anne_Moss,0,Princess_Stephanie,5,0.390117,5,0,0
159,Paula_Zahn,0,Paola_Espinoza,2,0.026246,5,0,0
160,Richard_Gere,3,Lars_Von_Trier,0,0.298915,5,0,0
161,Claudia_Schiffer,3,Alison_Lohman,3,0.468678,5,1,0
162,Georgi_Parvanov,2,Dany_Heatley,4,0.209145,5,0,0
163,Hank_McKinnell,3,Winona_Ryder,1,0.254141,5,0,0
164,Whoopi_Goldberg,4,Lara_Logan,5,0.481847,5,1,0
165,Lubomir_Zaoralek,5,Aidan_Quinn,0,0.263030,5,0,0
166,Ilan_Ramon,0,Edgar_Savisaar,2,0.431906,5,0,0
167,Alexander_Payne,2,William_Bratton,0,0.089694,5,0,0
168,Dai_Bachtiar,1,Akbar_Al_Baker,2,0.220352,5,0,0
169,Caroline_Dhavernas,0,Lucy_Liu,1,0.220851,5,0,0
170,Liu_Mingkang,1,Theresa_Gattung,1,0.283940,5,0,0
171,Christine_Gregoire,2,Peter_Medgyessy,2,0.361993,5,0,0
172,Gary_Coleman,5,Cabas,0,0.389997,5,0,0
173,Gary_Condit,3,Paul_Bettany,2,0.486369,5,1,0
174,Kate_Capshaw,1,Todd_Haynes,1,0.561064,5,1,0
175,Paula_Zahn,0,Ted_Williams,2,0.364624,5,0,0
176,Thabo_Mbeki,5,Zahir_Shah,0,0.369715,5,0,0
177,Pascal_Lamy,4,Alexandre_Daigle,0,0.423288,5,0,0
178,Roger_Mahony,1,Jalal_Talabani,3,0.701421,5,1,1
179,Adrian_Annus,4,LK_Advani,5,0.288517,5,0,0
180,Laura_Schlessinger,2,Jack_Nicholson,4,0.482716,5,1,0
181,Laurence_Tribe,5,Cindy_Klassen,4,0.255293,5,0,0
182,Liu_Mingkang,1,Laurent_Gbagbo,4,0.282088,5,0,0
183,Elizabeth_Smart,2,Bartosz_Kizierowski,5,0.172982,5,0,0
184,Elizabeth_Pena,1,Wayne_Newton,4,0.321108,5,0,0
185,Hana_Sadiq,1,Alberto_Acosta,5,0.252026,5,0,0
186,Claudia_Schiffer,3,Manuel_Llorente,3,0.222523,5,0,0
187,Emmy_Rossum,4,Harald_Ringstorff,5,0.297028,5,0,0
188,Oprah_Winfrey,0,Adam_Sandler,0,0.350420,5,0,0
189,Eliza_Dushku,3,Tom_Glavine,2,0.406644,5,0,0
190,Omar_Vizquel,1,William_Overlin,2,0.624299,5,1,1
191,Richard_Rodriguez,3,Tina_Andrews,0,0.333295,5,0,0
192,Ahmed_Ahmed,4,Benazir_Bhutto,2,0.483492,5,1,0
193,Kemal_Dervis,0,Teresa_Graves,5,0.318198,5,0,0
194,S_Jayakumar,2,Paul_Kariya,5,0.226071,5,0,0
195,Olivia_Newton-John,4,Natasha_McElhone,4,0.399536,5,0,0
196,Vojislav_Seselj,4,Nuon_Chea,1,0.279652,5,0,0
197,Thomas_OBrien,3,Lili_Taylor,2,0.248389,5,0,0
198,Elva_Hsiao,3,Edward_Said,1,0.237412,5,0,0
199,Gavin_Degraw,3,Carlos_Iturgaitz,2,0.320852,5,0,0
200,Dave_Matthews,4,Victoria_Beckham,3,0.379094,5,0,0
201,Tom_Osborne,5,Paula_Abdul,5,0.388106,5,0,0
202,Bianca_Jagger,3,Costas_Simitis,0,0.172821,5,0,0
203,Jaap_de_Hoop_Scheffer,3,Clark_Randt,1,0.263597,5,0,0
204,Tim_Matheson,4,Nestor_Kirchner,4,0.532546,5,1,0
205,Alfredo_di_Stefano,5,Alyson_Hannigan,2,0.413369,5,0,0
206,Thaksin_Shinawatra,3,Caroline_Dhavernas,5,0.330127,5,0,0
207,Bill_Clinton,4,Adrian_Annus,4,0.329694,5,0,0
208,Lynn_Abraham,0,Lela_Rochon,0,0.327659,5,0,0
209,Allyson_Felix,2,Elvis_Stojko,1,0.378277,5,0,0
210,Andres_DAlessandro,5,Katja_Riemann,0,0.219192,5,0,0
211,Paul_Byrd,1,Raghad_Saddam_Hussein,1,0.142998,5,0,0
212,Chen_Shui-bian,4,Padraig_Harrington,0,0.186557,5,0,0
213,Ellen_Pompeo,4,Carlos_De_Abreu,5,0.285421,5,0,0
214,Zhang_Yimou,0,Nancy_Reagan,4,0.592724,5,1,0
215,Lene_Espersen,4,Frank_Griswold,1,0.120577,5,0,0
216,GL_Peiris,5,Patrice_Chereau,4,0.513812,5,1,0
217,Phil_McGraw,0,Vince_Dooley,0,0.379722,5,0,0
218,Queen_Rania,3,Danny_Glover,5,0.201594,5,0,0
219,Barbara_Bodine,2,Chris_Cookson,0,0.345231,5,0,0
220,Oleg_Romantsev,3,Angela_Mascia-Frye,3,0.284150,5,0,0
221,Kevin_Satterfield,2,Lew_Rywin,3,0.315523,5,0,0
222,Francis_George,0,Alejandro_Toledo,3,0.460163,5,1,0
223,Tim_Curley,1,Fernando_Henrique_Cardoso,0,0.610119,5,1,1
224,Tariq_Aziz,5,El_Hadji_Diouf,3,0.530885,5,1,0
225,Larry_Flynt,2,Carla_Sullivan,2,0.329982,5,0,0
226,Rick_Bragg,3,Chen_Shui-bian,4,0.514012,5,1,0
227,Andy_Lau,1,Amy_Brenneman,3,0.433405,5,0,0
228,Penelope_Ann_Miller,5,Wayne_Allard,2,0.244899,5,0,0
229,Lee_Byung-woong,5,Carmen_Electra,3,0.400180,5,0,0
230,Theresa_May,4,Keith_Tyson,2,0.452614,5,1,0
231,Nicolas_Massu,3,Maria_Callas,1,0.586728,5,1,0
232,Pete_Sampras,2,Alexander_Lukashenko,3,0.417874,5,0,0
233,Peter_Holmberg,0,Elsa_Zylberstein,0,0.170766,5,0,0
234,Edward_Flynn,0,Sanjay_Gupta,4,0.498726,5,1,0
235,Ernie_Grunfeld,2,Paul_Bremer,2,0.471504,5,1,0
236,Lubomir_Zaoralek,5,Matt_LeBlanc,3,0.551928,5,1,0
237,Eve_Ensler,5,Claudia_Pechstein,5,0.620037,5,1,1
238,Ray_Lewis,1,Marcelo_Ebrard,3,0.286062,5,0,0
239,Ibrahim_Jaafari,5,Kevin_Satterfield,1,0.294449,5,0,0
240,Sam_Torrance,1,Bill_Hughes,3,0.373985,5,0,0
241,Kim_Jong-Il,0,Terrence_Trammell,1,0.441995,5,0,0
242,Roger_Suarez,4,Katja_Riemann,1,0.451510,5,1,0
243,Beatriz_Merino,2,Gary_Williams,3,0.624232,5,1,1
244,Carlo_Ancelotti,3,Zahir_Shah,0,0.126092,5,0,0
245,Roberta_Combs,0,Nikki_Reed,3,0.252252,5,0,0
246,Alyson_Hannigan,2,Colin_Montgomerie,2,0.280991,5,0,0
247,Queen_Noor,1,Lena_Olin,0,0.406731,5,0,0
248,Erin_Hershey_Presley,1,Norman_Mailer,2,0.050086,5,0,0
249,Lee_Ann_Womack,3,Theo_Epstein,1,0.289262,5,0,0
250,Alberto_Fujimori,0,Raja_Zafar-ul-Haq,1,0.549753,5,1,0
251,Gary_Carter,1,Nursultan_Nazarbayev,3,0.485566,5,1,0
252,Benazir_Bhutto,2,Edie_Falco,5,0.307575,5,0,0
253,Carlos_Alberto_Parreira,1,Rick_Bragg,5,0.303738,5,0,0
254,Tom_Amstutz,2,Francis_Mer,1,0.333553,5,0,0
255,Maggie_Cheung,0,Luciano_Pavarotti,2,0.349916,5,0,0
256,Nursultan_Nazarbayev,3,Charlie_Zaa,2,0.398747,5,0,0
257,Peter_Caruana,1,Mark_Shapiro,1,0.375830,5,0,0
258,Eva_Mendes,5,Zahir_Shah,1,0.013441,5,0,0
259,Mark_Leno,1,Erin_Runnion,2,0.314789,5,0,0
260,Tom_Smothers,5,Frank_Murkowski,5,0.511533,5,1,0
261,Chen_Kaige,1,Leonid_Kuchma,4,0.520316,5,1,0
262,Halle_Berry,0,Oleg_Romantsev,3,0.526596,5,1,0
263,George_Foreman,0,Colleen_Atwood,5,0.327233,5,0,0
264,El_Hadji_Diouf,3,Zhang_Yimou,0,0.154590,5,0,0
265,Geno_Auriemma,4,Vladimiro_Montesinos,3,0.637978,5,1,1
266,Jan_Peter_Balkenende,1,S_Jayakumar,2,0.192911,5,0,0
267,Alex_King,2,Caroline_Dhavernas,0,0.209955,5,0,0
268,Lee_Tae-sik,1,Beyonce_Knowles,0,0.393298,4,0,0
269,Tom_Koenigs,3,Charlie_Hunnam,4,0.275142,5,0,0
270,Angela_Mascia-Frye,3,Louis_Van_Gaal,1,0.406631,5,0,0
271,Priyanka_Chopra,5,Teri_Garr,0,0.291789,5,0,0
272,Geraldine_Chaplin,4,Saparmurat_Niyazov,5,0.413541,5,0,0
273,Queen_Sofia,0,Tom_Curley,4,0.424117,5,0,0
274,Poala_Suarez,3,Andrew_Luster,1,0.420271,5,0,0
275,Eduardo_Duhalde,0,Walter_Mondale,5,0.461954,5,1,0
276,Bertrand_Delanoe,0,Win_Aung,3,0.655887,5,1,1
277,Christiane_Wulff,1,Terry_Bradshaw,1,0.325783,5,0,0
278,Ali_Abbas,2,George_Lopez,3,0.661273,5,1,1
279,Ivan_Shvedoff,0,James_Comey,3,0.487132,5,1,0
280,Elizabeth_Regan,3,Natasha_McElhone,5,0.577639,5,1,0
281,Takashi_Yamamoto,1,Claude_Jorda,0,0.548006,5,1,0
282,Anjum_Hussain,2,Phil_McGraw,0,0.704517,5,1,1
283,Marie-Josee_Croze,2,Paul_Murphy,1,0.209417,5,0,0
284,Lionel_Chalmers,0,Reese_Witherspoon,1,0.241662,5,0,0
285,Emily_Robison,5,Sally_Kirkland,2,0.371286,5,0,0
286,Flavia_Pennetta,5,Sarah_Wynter,0,0.322566,5,0,0
287,Angela_Bassett,3,Lena_Katina,4,0.428419,5,0,0
288,Regina_Ip,4,Larry_Ellison,5,0.305124,5,0,0
289,Franz_Fischler,5,Cristina_Saralegui,3,0.379035,5,0,0
290,Brian_Billick,1,Elgin_Baylor,0,0.469572,5,1,0
291,Patti_Smith,1,Frank_Abagnale_Jr,2,0.395034,5,0,0
292,Roberto_Marinho,2,Karin_Viard,1,0.432592,5,0,0
293,Pascal_Lamy,5,Tanya_Holyk,2,0.363999,5,0,0
294,Peter_OToole,1,Vojislav_Kostunica,4,0.384583,5,0,0
295,Zhang_Yimou,0,Edward_Norton,1,0.727752,5,1,1
296,Ray_Wasden,1,Compay_Segundo,1,0.228830,5,0,0
297,Rachel_Leigh_Cook,3,Bernard_Siegel,0,0.369401,5,0,0
298,Lela_Rochon,0,Aleksander_Kwasniewski,1,0.385877,5,0,0
299,Ben_Broussard,3,Francois_Pienaar,1,0.234759,5,0,0
300,Cindy_Crawford,0,Dale_Earnhardt,3,0.441083,5,0,0
301,Natasha_McElhone,4,Mario_Kreutzberger,2,0.481134,5,1,0
302,Emmanuel_Milingo,4,Madonna,5,0.305749,5,0,0
303,Carla_Sullivan,2,Lorraine_Bracco,0,0.598952,5,1,0
304,William_Bratton,1,Edmund_Stoiber,3,0.392438,5,0,0
305,Ben_Broussard,2,Jason_Campbell,2,0.531313,5,1,0
306,Nick_Markakis,3,Carly_Gullickson,3,0.308932,5,0,0
307,Sandra_Bullock,3,Wayne_Allard,5,0.209858,5,0,0
308,Reggie_Miller,2,James_Baker,2,0.369409,5,0,0
309,Luca_Cordero_di_Montezemolo,5,Alain_Ducasse,3,0.480500,5,1,0
310,Rick_Bragg,5,Andrea_Bocelli,3,0.486002,5,1,0
311,Franz_Fischler,5,Rick_Romley,0,0.574256,5,1,0
312,Charles_Grassley,1,Alfredo_Moreno,1,0.286817,5,0,0
313,Marcos_Milinkovic,0,Carlo_Ancelotti,3,0.252453,5,0,0
314,Nick_Reilly,4,Celine_Dion,3,0.186269,5,0,0
315,Jalen_Rose,5,Samantha_Daniels,4,0.359507,5,0,0
316,Kostya_Tszyu,1,Robert_Nardelli,3,0.408285,5,0,0
317,Pilar_Montenegro,2,Kevin_Keegan,0,0.367685,5,0,0
318,Ted_Turner,2,Jalal_Talabani,3,0.684931,5,1,1
319,Leo_Ramirez,5,Elena_Dementieva,2,0.437317,5,0,0
320,Tanya_Holyk,2,Jacques_Rogge,5,0.462099,5,1,0
321,Kathryn_Bigelow,0,Eva_Mendes,4,0.531174,3,1,0
322,Lima_Azimi,2,Ben_Kingsley,5,0.207809,5,0,0
323,Renato_Soru,2,Pervez_Musharraf,1,0.533610,5,1,0
324,Hamad_Bin_Isa_al-Khalifa,1,Elizabeth_Hurley,0,0.205368,1,0,0
325,Andrew_Luster,1,Ximena_Bohorquez,4,0.289468,5,0,0
326,Dave_Campo,2,Einars_Repse,4,0.715333,5,1,1
327,Peri_Gilpin,2,Abba_Eban,0,0.380721,5,0,0
328,Cate_Blanchett,4,Nicolas_Sarkozy,1,0.431614,5,0,0
329,Cameron_Diaz,2,Rodrigo_de_la_Cerna,3,0.449309,5,0,0
330,Adrianna_Zuzic,0,Ivan_Helguera,1,0.392913,5,0,0
331,Agbani_Darego,4,Chuck_Yeager,1,0.273052,5,0,0
332,Caroline_Kennedy,4,Vinnie_Jones,4,0.209735,5,0,0
333,Vojislav_Seselj,5,Andrea_De_Cruz,4,0.531973,5,1,0
334,Zulfiqar_Ahmed,4,Jack_Nicholson,4,0.503073,5,1,0
335,Li_Ka-shing,0,Marisa_Tomei,4,0.442431,5,0,0
336,Alexis_Dennisoff,5,Tommy_Amaker,5,0.142890,5,0,0
337,Richard_Haass,0,Alec_Baldwin,3,0.548827,5,1,0
338,Keira_Knightley,1,Larry_Lucchino,3,0.343401,5,0,0
339,Tina_Brown,2,Lenny_Kravitz,5,0.113102,5,0,0
340,George_Foreman,0,Phil_Bredesen,1,0.397683,5,0,0
341,Caroline_Dhavernas,5,Eva_Herzigova,2,0.355222,5,0,0
342,Pete_Carroll,3,Natasha_Lyonne,1,0.335919,5,0,0
343,Mark_Foley,4,Peter_Max,3,0.370536,5,0,0
344,Thomas_Manger,4,Carla_Gugino,5,0.321320,5,0,0
345,Li_Changchun,0,Edward_Burns,3,0.623665,5,1,1
346,Liane_Janda,4,Kathryn_Morris,1,0.414862,5,0,0
347,Gary_Locke,4,Larry_Nichols,1,0.415704,5,0,0
348,James_Coburn,1,Chick_Hearn,1,0.190841,5,0,0
349,Ben_Howland,1,Barry_Switzer,2,0.292022,5,0,0
350,Bernard_Landry,5,Vladimir_Spidla,0,0.311872,5,0,0
351,Orlando_Bloom,4,Amy_Brenneman,1,0.322673,5,0,0
352,Kim_Clijsters,5,Ion_Tiriac,5,0.266308,5,0,0
353,Allyson_Felix,2,Flavia_Pennetta,4,0.247907,5,0,0
354,Bill_Frist,2,Paul_Crane,1,0.408524,5,0,0
355,Choi_Sung-hong,4,Robert_Wiener,1,0.105871,5,0,0
356,Cabas,0,Ilie_Nastase,0,0.635084,5,1,1
357,Wolfgang_Schneiderhan,2,Evo_Morales,1,0.352507,5,0,0
358,Otto_Schily,5,Yasser_Arafat,0,0.290952,5,0,0
359,Phil_Gramm,3,Roberto_Benigni,0,0.363531,5,0,0
360,Claudette_Robinson,5,Eunice_Barber,1,0.323983,5,0,0
361,Imam_Samudra,0,Abdullah,1,0.308240,5,0,0
362,Pascal_Lamy,4,Roberta_Combs,0,0.357567,5,0,0
363,Charles_Schumer,3,Vincent_Gallo,0,0.568936,5,1,0
364,Ben_Kingsley,5,Walter_Annenberg,1,0.655086,5,1,1
365,James_Gandolfini,4,Kyra_Sedgwick,3,0.428830,5,0,0
366,Chris_Cooper,3,Jake_Plummer,5,0.427995,5,0,0
367,George_Lopez,2,Zhong_Nanshan,0,0.585072,5,1,0
368,Chris_Bell,2,Chris_Cooper,4,0.157106,5,0,0
369,Barbara_Boxer,4,Etta_James,4,0.504606,5,1,0
370,Mahmoud_Al_Zhar,0,Phan_Van_Khai,2,0.665710,5,1,1
371,Eunice_Barber,5,Dave_Barr,0,0.448021,5,0,0
372,Iain_Duncan_Smith,2,Laura_Elena_Harring,4,0.283603,5,0,0
373,Sasha_Alexander,3,Sasha_Cohen,5,0.537248,5,1,0
374,Sally_Ride,0,Gael_Garcia_Bermal,3,0.158851,5,0,0
375,Karen_Lynn_Gorney,0,Peter_Caruana,1,0.619878,5,1,1
